container,bare,cca,ram,spon
1,0.11456926895109028,0.827560174672043,1e-9,0.05787055637686653
2,0.5061592998385018,0.287161046441518,0.11092635125291857,0.09575330246706158
3,0.5482732026234418,0.26434103868491565,0.1266530179947845,0.06073274069685797
4,0.9913679131260545,0.008632086873945484,1e-9,1e-9
5,0.6721983692506003,0.23361611739595128,0.08569689598770269,0.008488617365745712
6,0.23941779536530208,0.021347964541994748,0.7392342400927032,1e-9
7,0.5601626935495655,0.26536890921684075,0.14175980557846204,0.03270859165513179
8,0.3778343008239684,0.3211551073509398,0.3010105918250918,1e-9
9,0.5133435444601805,0.1938083513157948,0.29155512981433457,0.0012929744096900446
