name,rubble_type,side,container,row,column,label
1_cca_bottom,cca,bottom,1,579,1107,x
1_cca_bottom,cca,bottom,1,601,925,x
1_cca_bottom,cca,bottom,1,628,957,x
1_cca_bottom,cca,bottom,1,449,1054,x
1_cca_bottom,cca,bottom,1,587,838,x
1_cca_bottom,cca,bottom,1,458,633,x
1_cca_bottom,cca,bottom,1,732,756,cs
1_cca_bottom,cca,bottom,1,714,928,x
1_cca_bottom,cca,bottom,1,593,865,x
1_cca_bottom,cca,bottom,1,516,1078,x
1_cca_bottom,cca,bottom,1,617,918,x
1_cca_bottom,cca,bottom,1,701,715,cs
1_cca_bottom,cca,bottom,1,625,651,cs
1_cca_bottom,cca,bottom,1,634,1020,x
1_cca_bottom,cca,bottom,1,635,982,x
1_cca_bottom,cca,bottom,1,603,1458,x
1_cca_bottom,cca,bottom,1,604,1275,x
1_cca_bottom,cca,bottom,1,754,1638,x
1_cca_bottom,cca,bottom,1,736,1600,x
1_cca_bottom,cca,bottom,1,605,1352,x
1_cca_bottom,cca,bottom,1,619,1453,x
1_cca_bottom,cca,bottom,1,490,1641,x
1_cca_bottom,cca,bottom,1,700,1378,x
1_cca_bottom,cca,bottom,1,458,1234,x
1_cca_bottom,cca,bottom,1,583,1421,x
1_cca_bottom,cca,bottom,1,717,1404,x
1_cca_bottom,cca,bottom,1,627,1432,x
1_cca_bottom,cca,bottom,1,857,1444,x
1_cca_bottom,cca,bottom,1,548,1616,x
1_cca_bottom,cca,bottom,1,637,1933,cs
1_cca_bottom,cca,bottom,1,653,1803,cs
1_cca_bottom,cca,bottom,1,679,1840,cs
1_cca_bottom,cca,bottom,1,760,1773,cs
1_cca_bottom,cca,bottom,1,623,2073,cs
1_cca_bottom,cca,bottom,1,799,2067,cb
1_cca_bottom,cca,bottom,1,797,2079,cb
1_cca_bottom,cca,bottom,1,639,2126,cb
1_cca_bottom,cca,bottom,1,539,1869,cs
1_cca_bottom,cca,bottom,1,473,2073,cs
1_cca_bottom,cca,bottom,1,763,1784,cs
1_cca_bottom,cca,bottom,1,766,1754,x
1_cca_bottom,cca,bottom,1,636,2009,cs
1_cca_bottom,cca,bottom,1,772,2443,cb
1_cca_bottom,cca,bottom,1,789,2352,cb
1_cca_bottom,cca,bottom,1,717,2673,os
1_cca_bottom,cca,bottom,1,632,2551,cb
1_cca_bottom,cca,bottom,1,768,2846,x
1_cca_bottom,cca,bottom,1,570,2512,cb
1_cca_bottom,cca,bottom,1,697,2655,os
1_cca_bottom,cca,bottom,1,884,2295,cb
1_cca_bottom,cca,bottom,1,589,2549,cb
1_cca_bottom,cca,bottom,1,493,2645,ob
1_cca_bottom,cca,bottom,1,690,2805,os
1_cca_bottom,cca,bottom,1,849,2294,cb
1_cca_bottom,cca,bottom,1,749,2592,cs
1_cca_bottom,cca,bottom,1,512,2725,os
1_cca_bottom,cca,bottom,1,710,2457,cb
1_cca_bottom,cca,bottom,1,868,2341,cb
1_cca_bottom,cca,bottom,1,1189,107,os
1_cca_bottom,cca,bottom,1,1110,363,bb
1_cca_bottom,cca,bottom,1,911,502,bb
1_cca_bottom,cca,bottom,1,1025,178,bs
1_cca_bottom,cca,bottom,1,1139,565,bb
1_cca_bottom,cca,bottom,1,1215,403,bb
1_cca_bottom,cca,bottom,1,992,101,x
1_cca_bottom,cca,bottom,1,922,534,bb
1_cca_bottom,cca,bottom,1,1132,567,bb
1_cca_bottom,cca,bottom,1,923,422,bb
1_cca_bottom,cca,bottom,1,1213,484,bb
1_cca_bottom,cca,bottom,1,901,702,cb
1_cca_bottom,cca,bottom,1,1102,721,cb
1_cca_bottom,cca,bottom,1,1081,969,cb
1_cca_bottom,cca,bottom,1,1253,633,bb
1_cca_bottom,cca,bottom,1,993,590,bb
1_cca_bottom,cca,bottom,1,1084,776,cb
1_cca_bottom,cca,bottom,1,1264,1105,cb
1_cca_bottom,cca,bottom,1,1327,906,cb
1_cca_bottom,cca,bottom,1,1097,1130,cs
1_cca_bottom,cca,bottom,1,1241,802,cb
1_cca_bottom,cca,bottom,1,1282,1584,cb
1_cca_bottom,cca,bottom,1,1098,1144,cs
1_cca_bottom,cca,bottom,1,1167,1337,cs
1_cca_bottom,cca,bottom,1,1202,1460,cs
1_cca_bottom,cca,bottom,1,1231,1247,cb
1_cca_bottom,cca,bottom,1,923,1238,x
1_cca_bottom,cca,bottom,1,1108,1248,cs
1_cca_bottom,cca,bottom,1,1065,1505,cs
1_cca_bottom,cca,bottom,1,1136,1676,cb
1_cca_bottom,cca,bottom,1,1173,1145,cb
1_cca_bottom,cca,bottom,1,1241,1211,cb
1_cca_bottom,cca,bottom,1,1037,1196,cs
1_cca_bottom,cca,bottom,1,1112,1442,os
1_cca_bottom,cca,bottom,1,1255,1499,cb
1_cca_bottom,cca,bottom,1,1111,1477,os
