day,container,rubble_type,position,bt,ct,rt,ot,bs,cs,rs,os,bb,cb,rb,ob
16,7,ram,left,0,0,1,0,13,0,2,0,1,0,0,0
16,7,cca,right,1,2,0,0,0,1,0,0,0,2,0,0
16,9,ram,bot,4,8,4,0,5,6,0,0,9,2,6,0
16,9,cca,left,0,3,0,0,2,6,0,0,4,8,0,0
16,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
20,1,cca,top,1,28,0,2,3,38,0,1,4,7,0,0
20,2,cca,top,6,30,0,3,5,13,0,0,3,2,0,0
20,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
20,2,ram,right,0,1,0,0,12,21,0,0,0,0,0,0
20,3,bare,top,9,0,0,0,19,0,0,0,18,2,0,0
20,3,cca,left,14,12,0,0,7,4,0,0,2,5,0,0
20,3,ram,right,0,0,1,0,0,0,0,0,0,0,0,0
20,4,bare,bot,1,0,0,0,9,7,0,0,20,5,0,0
20,5,bare,bot,4,0,0,0,1,0,0,0,0,0,0,0
20,5,ram,left,0,0,0,0,17,4,0,0,0,0,0,0
20,5,cca,right,1,17,0,0,3,3,0,0,8,4,0,0
20,6,ram,bot,0,0,0,0,3,0,1,0,0,0,0,0
20,7,bare,top,6,9,0,0,2,5,0,0,0,0,0,0
20,7,ram,left,0,0,1,0,15,0,2,0,2,0,0,0
20,7,cca,right,2,2,0,0,0,0,0,0,2,1,0,0
20,9,ram,bot,5,7,1,0,5,4,0,0,1,2,5,0
20,9,cca,left,0,3,0,0,3,4,0,0,0,7,0,0
20,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
26,1,cca,top,4,19,0,2,2,25,0,3,3,6,0,0
26,2,cca,top,10,24,0,1,5,11,0,4,2,3,0,0
26,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
26,2,ram,right,0,1,0,0,11,17,0,0,2,0,0,0
26,3,bare,top,6,0,0,0,15,0,0,0,16,2,0,0
26,3,cca,left,15,12,0,1,6,4,0,0,1,5,0,0
26,3,ram,right,0,0,0,0,0,0,1,0,0,0,0,0
26,4,bare,bot,1,0,0,0,9,6,0,0,17,2,0,0
26,5,bare,bot,3,1,0,0,1,0,0,0,0,0,0,0
26,5,ram,left,0,0,0,0,17,3,0,0,0,0,0,0
26,5,cca,right,1,9,0,0,3,3,0,0,6,5,0,0
26,6,ram,bot,0,0,0,0,0,0,0,0,0,0,1,0
26,7,bare,top,6,4,0,0,4,3,0,0,0,0,0,0
26,7,ram,left,0,0,2,0,17,0,2,0,2,0,0,0
26,7,cca,right,2,2,0,0,0,2,0,0,1,1,0,0
26,9,ram,bot,5,5,2,0,1,5,3,0,11,1,4,0
26,9,cca,left,0,2,0,0,2,6,0,0,0,3,0,0
26,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
