container,bare,cca,ram,spon
1,0.11154598825831702,0.8297455968688845,1e-9,0.05870841487279843
2,0.5821449686209196,0.2625422839445981,0.08573178199632579,0.0695809654381565
3,0.5298518761815928,0.23736427736663776,0.16725352112676056,0.06553032532500891
4,0.984822934232715,0.015177065767284992,1e-9,1e-9
5,0.6135852635219621,0.25530798370918023,0.11596714640946423,0.01513960635939355
6,0.14619883040935672,0.021442495126705652,0.8323586744639376,1e-9
7,0.5549920808601679,0.2612171952346534,0.1532693547839663,0.030521369121212293
8,0.35405474642618073,0.31865947542926254,0.3272857781445568,1e-9
9,0.5037194981254124,0.16720120611231168,0.3262746426733928,0.0028046530888830327
